,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,dam,spp
10,2010-01-11,5.105647039205454,5.105647039205454,5.105647039205454,-0.9965262537666307,1.632544137711447,-4.770599996960866,-4.770599996960866,-4.770599996960866,-4.770599996960866,-4.770599996960866,-4.770599996960866,-0.006572469922067284,-0.006572469922067284,-0.006572469922067284,-4.764027527038797,-4.764027527038797,-4.764027527038797,0.3350470422445886,BON,chinook_adult
11,2010-01-12,5.104391501770966,5.104391501770966,5.104391501770966,-0.9751575251294594,1.6930525810514176,-4.805056138567561,-4.805056138567561,-4.805056138567561,-4.805056138567561,-4.805056138567561,-4.805056138567561,-0.03906411572956968,-0.03906411572956968,-0.03906411572956968,-4.765992022837992,-4.765992022837992,-4.765992022837992,0.29933536320340437,BON,chinook_adult
12,2010-01-13,5.103135964336477,5.103135964336477,5.103135964336477,-1.0487860506081383,1.7058725463524156,-4.753002137330017,-4.753002137330017,-4.753002137330017,-4.753002137330017,-4.753002137330017,-4.753002137330017,0.01416612424556361,0.01416612424556361,0.01416612424556361,-4.767168261575581,-4.767168261575581,-4.767168261575581,0.35013382700646023,BON,chinook_adult
13,2010-01-14,5.101880426901989,5.101880426901989,5.101880426901989,-0.9670697845965013,1.6507635750509635,-4.7313622434972915,-4.7313622434972915,-4.7313622434972915,-4.7313622434972915,-4.7313622434972915,-4.7313622434972915,0.03620416943021384,0.03620416943021384,0.03620416943021384,-4.767566412927505,-4.767566412927505,-4.767566412927505,0.37051818340469733,BON,chinook_adult
14,2010-01-15,5.1006248894675,5.1006248894675,5.1006248894675,-0.9935318018847781,1.7936857295618343,-4.736333482885128,-4.736333482885128,-4.736333482885128,-4.736333482885128,-4.736333482885128,-4.736333482885128,0.03088072813688258,0.03088072813688258,0.03088072813688258,-4.7672142110220115,-4.7672142110220115,-4.7672142110220115,0.3642914065823728,BON,chinook_adult
15,2010-01-16,5.099369352033012,5.099369352033012,5.099369352033012,-1.0595085857673148,1.6673097500140661,-4.7958228106718765,-4.7958228106718765,-4.7958228106718765,-4.7958228106718765,-4.7958228106718765,-4.7958228106718765,-0.02966534457883237,-0.02966534457883237,-0.02966534457883237,-4.766157466093044,-4.766157466093044,-4.766157466093044,0.30354654136113535,BON,chinook_adult
16,2010-01-17,5.098113814598523,5.098113814598523,5.098113814598523,-1.070404788325277,1.6845205221532151,-4.770408975833419,-4.770408975833419,-4.770408975833419,-4.770408975833419,-4.770408975833419,-4.770408975833419,-0.005949091582301227,-0.005949091582301227,-0.005949091582301227,-4.764459884251118,-4.764459884251118,-4.764459884251118,0.32770483876510426,BON,chinook_adult
17,2010-01-18,5.096858277164035,5.096858277164035,5.096858277164035,-1.0268285099928676,1.7185993083746256,-4.76877467355992,-4.76877467355992,-4.76877467355992,-4.76877467355992,-4.76877467355992,-4.76877467355992,-0.0065724699220640415,-0.0065724699220640415,-0.0065724699220640415,-4.762202203637856,-4.762202203637856,-4.762202203637856,0.3280836036041146,BON,chinook_adult
18,2010-01-19,5.0956027397295465,5.0956027397295465,5.0956027397295465,-1.0385672831982795,1.6405898082135946,-4.798544789730744,-4.798544789730744,-4.798544789730744,-4.798544789730744,-4.798544789730744,-4.798544789730744,-0.03906411572951474,-0.03906411572951474,-0.03906411572951474,-4.759480674001228,-4.759480674001228,-4.759480674001228,0.29705794999880286,BON,chinook_adult
19,2010-01-20,5.094347202295057,5.094347202295057,5.094347202295057,-0.9078072577501303,1.6051684386067309,-4.742238800421767,-4.742238800421767,-4.742238800421767,-4.742238800421767,-4.742238800421767,-4.742238800421767,0.014166124245494703,0.014166124245494703,0.014166124245494703,-4.756404924667261,-4.756404924667261,-4.756404924667261,0.3521084018732905,BON,chinook_adult
20,2010-01-21,5.0930916648605695,5.0930916648605695,5.0930916648605695,-1.000831561370068,1.707759639270007,-4.716891113137002,-4.716891113137002,-4.716891113137002,-4.716891113137002,-4.716891113137002,-4.716891113137002,0.036204169430222276,0.036204169430222276,0.036204169430222276,-4.753095282567226,-4.753095282567226,-4.753095282567226,0.37620055172356714,BON,chinook_adult
21,2010-01-22,5.091836127426081,5.091836127426081,5.091836127426081,-1.0657266721351235,1.8162157484436263,-4.718798888844084,-4.718798888844084,-4.718798888844084,-4.718798888844084,-4.718798888844084,-4.718798888844084,0.03088072813698523,0.03088072813698523,0.03088072813698523,-4.749679616981069,-4.749679616981069,-4.749679616981069,0.3730372385819969,BON,chinook_adult
22,2010-01-23,5.090580589991593,5.090580589991593,5.090580589991593,-0.9864880533668534,1.7195952847200004,-4.77595514516823,-4.77595514516823,-4.77595514516823,-4.77595514516823,-4.77595514516823,-4.77595514516823,-0.029665344578801163,-0.029665344578801163,-0.029665344578801163,-4.746289800589429,-4.746289800589429,-4.746289800589429,0.3146254448233625,BON,chinook_adult
23,2010-01-24,5.089325052557104,5.089325052557104,5.089325052557104,-1.0542813365589327,1.639763537414914,-4.7490069785697955,-4.7490069785697955,-4.7490069785697955,-4.7490069785697955,-4.7490069785697955,-4.7490069785697955,-0.005949091582216643,-0.005949091582216643,-0.005949091582216643,-4.743057886987579,-4.743057886987579,-4.743057886987579,0.3403180739873086,BON,chinook_adult
24,2010-01-25,5.088069515122616,5.088069515122616,5.088069515122616,-1.0016495732403352,1.5893117565621269,-4.746684582636741,-4.746684582636741,-4.746684582636741,-4.746684582636741,-4.746684582636741,-4.746684582636741,-0.006572469922060805,-0.006572469922060805,-0.006572469922060805,-4.740112112714679,-4.740112112714679,-4.740112112714679,0.34138493248587487,BON,chinook_adult
25,2010-01-26,5.086813977688127,5.086813977688127,5.086813977688127,-0.964738300836916,1.6085895746328822,-4.776636952661139,-4.776636952661139,-4.776636952661139,-4.776636952661139,-4.776636952661139,-4.776636952661139,-0.0390641157295327,-0.0390641157295327,-0.0390641157295327,-4.737572836931607,-4.737572836931607,-4.737572836931607,0.31017702502698796,BON,chinook_adult
26,2010-01-27,5.085558440253639,5.085558440253639,5.085558440253639,-1.0129561370130875,1.724562005166864,-4.721382409721175,-4.721382409721175,-4.721382409721175,-4.721382409721175,-4.721382409721175,-4.721382409721175,0.014166124245425802,0.014166124245425802,0.014166124245425802,-4.735548533966601,-4.735548533966601,-4.735548533966601,0.3641760305324633,BON,chinook_adult
27,2010-01-28,5.08430290281915,5.08430290281915,5.08430290281915,-0.8958486345245296,1.58048326962112,-4.6979277836192725,-4.6979277836192725,-4.6979277836192725,-4.6979277836192725,-4.6979277836192725,-4.6979277836192725,0.036204169430207885,0.036204169430207885,0.036204169430207885,-4.734131953049481,-4.734131953049481,-4.734131953049481,0.38637511919987766,BON,chinook_adult
28,2010-01-29,5.083047365384662,5.083047365384662,5.083047365384662,-0.9347343003276359,1.799964355930869,-4.7025158274990675,-4.7025158274990675,-4.7025158274990675,-4.7025158274990675,-4.7025158274990675,-4.7025158274990675,0.030880728136895894,0.030880728136895894,0.030880728136895894,-4.733396555635963,-4.733396555635963,-4.733396555635963,0.38053153788559424,BON,chinook_adult
