,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,dam,spp
0,2010-04-01,4.945849198921107,4.945849198921107,4.945849198921107,0.41366348641055106,3.7550803859296353,-2.8874580403622008,-2.8874580403622008,-2.8874580403622008,-2.8874580403622008,-2.8874580403622008,-2.8874580403622008,-0.03321749977234423,-0.03321749977234423,-0.03321749977234423,-2.8542405405898563,-2.8542405405898563,-2.8542405405898563,2.0583911585589063,TDA,chinook_adult
1,2010-04-02,4.940865585733909,4.940865585733909,4.940865585733909,0.7283295565118192,3.951162817933324,-2.6429374593566606,-2.6429374593566606,-2.6429374593566606,-2.6429374593566606,-2.6429374593566606,-2.6429374593566606,0.009871588600448815,0.009871588600448815,0.009871588600448815,-2.652809047957109,-2.652809047957109,-2.652809047957109,2.2979281263772484,TDA,chinook_adult
2,2010-04-03,4.93588197254671,4.93588197254671,4.93588197254671,0.76488542144543,4.101837297827045,-2.4133143192782924,-2.4133143192782924,-2.4133143192782924,-2.4133143192782924,-2.4133143192782924,-2.4133143192782924,0.025972210564922334,0.025972210564922334,0.025972210564922334,-2.439286529843215,-2.439286529843215,-2.439286529843215,2.5225676532684176,TDA,chinook_adult
3,2010-04-04,4.930898359359511,4.930898359359511,4.930898359359511,1.1538614759033714,4.42593325884249,-2.164176791289308,-2.164176791289308,-2.164176791289308,-2.164176791289308,-2.164176791289308,-2.164176791289308,0.050358289742310075,0.050358289742310075,0.050358289742310075,-2.2145350810316184,-2.2145350810316184,-2.2145350810316184,2.766721568070203,TDA,chinook_adult
4,2010-04-05,4.925914746172313,4.925914746172313,4.925914746172313,1.2844742736967387,4.679155113518548,-1.9647310270890628,-1.9647310270890628,-1.9647310270890628,-1.9647310270890628,-1.9647310270890628,-1.9647310270890628,0.014831560261959625,0.014831560261959625,0.014831560261959625,-1.979562587351022,-1.979562587351022,-1.979562587351022,2.96118371908325,TDA,chinook_adult
5,2010-04-06,4.920931132985113,4.920931132985113,4.920931132985113,1.3421914573239526,4.757985749602202,-1.7607821243607227,-1.7607821243607227,-1.7607821243607227,-1.7607821243607227,-1.7607821243607227,-1.7607821243607227,-0.025271253083849633,-0.025271253083849633,-0.025271253083849633,-1.7355108712768732,-1.7355108712768732,-1.7355108712768732,3.1601490086243906,TDA,chinook_adult
6,2010-04-07,4.915947519797915,4.915947519797915,4.915947519797915,1.7021266475432326,5.155218001111985,-1.5261862216281148,-1.5261862216281148,-1.5261862216281148,-1.5261862216281148,-1.5261862216281148,-1.5261862216281148,-0.04254489631342806,-0.04254489631342806,-0.04254489631342806,-1.483641325314687,-1.483641325314687,-1.483641325314687,3.3897612981698,TDA,chinook_adult
7,2010-04-08,4.910963906610716,4.910963906610716,4.910963906610716,1.9717276372551589,5.283416270243811,-1.2585358186174178,-1.2585358186174178,-1.2585358186174178,-1.2585358186174178,-1.2585358186174178,-1.2585358186174178,-0.03321749977238834,-0.03321749977238834,-0.03321749977238834,-1.2253183188450294,-1.2253183188450294,-1.2253183188450294,3.6524280879932984,TDA,chinook_adult
8,2010-04-09,4.905980293423517,4.905980293423517,4.905980293423517,2.3482527865430773,5.6917248279968415,-0.9521191280478306,-0.9521191280478306,-0.9521191280478306,-0.9521191280478306,-0.9521191280478306,-0.9521191280478306,0.009871588600476376,0.009871588600476376,0.009871588600476376,-0.9619907166483069,-0.9619907166483069,-0.9619907166483069,3.9538611653756863,TDA,chinook_adult
9,2010-04-10,4.900996680236319,4.900996680236319,4.900996680236319,2.577038455402549,5.811286521584478,-0.6691996805306049,-0.6691996805306049,-0.6691996805306049,-0.6691996805306049,-0.6691996805306049,-0.6691996805306049,0.025972210564935417,0.025972210564935417,0.025972210564935417,-0.6951718910955401,-0.6951718910955401,-0.6951718910955401,4.231796999705714,TDA,chinook_adult
10,2010-04-11,4.89601306704912,4.89601306704912,4.89601306704912,2.782588600141117,6.200298326575191,-0.37606035419064027,-0.37606035419064027,-0.37606035419064027,-0.37606035419064027,-0.37606035419064027,-0.37606035419064027,0.05035828974227104,0.05035828974227104,0.05035828974227104,-0.42641864393291146,-0.42641864393291146,-0.42641864393291146,4.51995271285848,TDA,chinook_adult
11,2010-04-12,4.891029453861921,4.891029453861921,4.891029453861921,3.076712211534658,6.502388604970858,-0.14247791644782004,-0.14247791644782004,-0.14247791644782004,-0.14247791644782004,-0.14247791644782004,-0.14247791644782004,0.014831560261894309,0.014831560261894309,0.014831560261894309,-0.15730947670971437,-0.15730947670971437,-0.15730947670971437,4.748551537414101,TDA,chinook_adult
12,2010-04-13,4.886045840674722,4.886045840674722,4.886045840674722,3.2521755400803576,6.587203391523796,0.08530608624362489,0.08530608624362489,0.08530608624362489,0.08530608624362489,0.08530608624362489,0.08530608624362489,-0.025271253083863982,-0.025271253083863982,-0.025271253083863982,0.11057733932748887,0.11057733932748887,0.11057733932748887,4.971351926918347,TDA,chinook_adult
13,2010-04-14,4.881062227487524,4.881062227487524,4.881062227487524,3.458019811454884,6.9738981960937565,0.33314054660013853,0.33314054660013853,0.33314054660013853,0.33314054660013853,0.33314054660013853,0.33314054660013853,-0.04254489631341876,-0.04254489631341876,-0.04254489631341876,0.3756854429135572,0.3756854429135572,0.3756854429135572,5.214202774087663,TDA,chinook_adult
